Country,Year,Metric_type,Value
Argentina,1999.0,Digital OOH,0.0
Argentina,1999.0,Display Desktop,0.0
Argentina,1999.0,Display Mobile,0.0
Argentina,1999.0,Other Desktop,0.0
Argentina,1999.0,Other Mobile,0.0
Argentina,1999.0,Search Desktop,0.0
Argentina,1999.0,Search Mobile,0.0
Argentina,1999.0,Social Desktop,0.0
Argentina,1999.0,Social Mobile,0.0
Argentina,1999.0,Video Desktop,0.0
Argentina,1999.0,Video Mobile,0.0
Argentina,1999.0,Cinema,0.0614495053995068
Argentina,1999.0,Pay TV,0.141206849737662
Argentina,1999.0,Traditional OOH,0.170063206825203
Argentina,1999.0,Radio,0.275751639097993
Argentina,1999.0,Magazine,0.305849942206023
Argentina,1999.0,Newspaper,1.09471293652511
Argentina,1999.0,Free TV,0.99534837903476
Australia,1999.0,Cinema,0.0
Australia,1999.0,Digital OOH,0.0
Australia,1999.0,Display Mobile,0.0
Australia,1999.0,Other Desktop,0.0
Australia,1999.0,Other Mobile,0.0
Australia,1999.0,Pay TV,0.0
Australia,1999.0,Search Mobile,0.0
Australia,1999.0,Social Desktop,0.0
Australia,1999.0,Social Mobile,0.0
Australia,1999.0,Video Desktop,0.0
Australia,1999.0,Video Mobile,0.0
Australia,1999.0,Search Desktop,18.1175096631243
Australia,1999.0,Display Desktop,34.017484371231
Australia,1999.0,Traditional OOH,247.678544182951
Australia,1999.0,Radio,414.646649738612
Australia,1999.0,Magazine,428.519857950766
Australia,1999.0,Free TV,1954.62573349523
Australia,1999.0,Newspaper,1901.32719362095
Austria,1999.0,Digital OOH,0.0
Austria,1999.0,Display Mobile,0.0
Austria,1999.0,Other Desktop,0.0
Austria,1999.0,Other Mobile,0.0
Austria,1999.0,Pay TV,0.0
Austria,1999.0,Search Mobile,0.0
Austria,1999.0,Social Desktop,0.0
Austria,1999.0,Social Mobile,0.0
Austria,1999.0,Video Desktop,0.0
Austria,1999.0,Video Mobile,0.0
Austria,1999.0,Search Desktop,0.114149677011072
Austria,1999.0,Cinema,5.08824129880986
Austria,1999.0,Display Desktop,6.58784396546113
Austria,1999.0,Traditional OOH,92.5406641507599
Austria,1999.0,Radio,127.692399882777
Austria,1999.0,Magazine,265.864518487505
Austria,1999.0,Free TV,333.350813415774
Austria,1999.0,Newspaper,493.032155856599
Bahrain,1999.0,Cinema,0.0
Bahrain,1999.0,Digital OOH,0.0
Bahrain,1999.0,Display Desktop,0.0
Bahrain,1999.0,Display Mobile,0.0
Bahrain,1999.0,Free TV,0.0
Bahrain,1999.0,Magazine,0.0
Bahrain,1999.0,Newspaper,0.0
Bahrain,1999.0,Other Desktop,0.0
Bahrain,1999.0,Other Mobile,0.0
Bahrain,1999.0,Pay TV,0.0
Bahrain,1999.0,Radio,0.0
Bahrain,1999.0,Search Desktop,0.0
Bahrain,1999.0,Search Mobile,0.0
Bahrain,1999.0,Social Desktop,0.0
Bahrain,1999.0,Social Mobile,0.0
Bahrain,1999.0,Traditional OOH,0.0
Bahrain,1999.0,Video Desktop,0.0
Bahrain,1999.0,Video Mobile,0.0
Belgium,1999.0,Digital OOH,0.0
Belgium,1999.0,Display Mobile,0.0
Belgium,1999.0,Other Desktop,0.0
Belgium,1999.0,Other Mobile,0.0
Belgium,1999.0,Pay TV,0.0
Belgium,1999.0,Search Mobile,0.0
Belgium,1999.0,Social Desktop,0.0
Belgium,1999.0,Social Mobile,0.0
Belgium,1999.0,Video Desktop,0.0
Belgium,1999.0,Video Mobile,0.0
Belgium,1999.0,Search Desktop,0.0526353985633672
Belgium,1999.0,Display Desktop,0.0585318314249847
Belgium,1999.0,Cinema,20.3701191920316
